price,5G_or_not,num_cores,processor_speed,battery_capacity,fast_charging_available,ram_capacity,internal_memory,screen_size,refresh_rate,num_rear_cameras,primary_camera_rear,primary_camera_front,extended_memory_available,resolution_height,resolution_width,processor_brand_dimensity,processor_brand_exynos,processor_brand_google,processor_brand_helio,processor_brand_kirin,processor_brand_snapdragon,processor_brand_tiger,os_android,os_other
0.11124887690925425,1.0,0.0,0.4285714285714284,0.8620689655172411,1.0,1.0,1.0,0.8333333333333321,0.0,1.0,0.0,0.7333333333333334,1.0,0.6666666666666679,0.0,1,0,0,0,0,0,0,1,0
0.11141060197663974,0.0,0.0,0.2857142857142858,0.8620689655172411,1.0,0.0,0.0,0.16666666666666607,0.2857142857142857,0.0,0.125,0.7333333333333334,1.0,0.3333333333333339,0.0,0,0,0,1,0,0,0,1,0
0.5692902066486972,1.0,0.0,0.714285714285714,0.5293103448275862,1.0,1.0,1.0,0.16666666666666607,0.2857142857142857,0.0,0.125,0.2,0.0,0.3333333333333339,0.0,0,0,1,0,0,0,0,1,0
0.7960646900269541,1.0,0.0,0.75,0.306034482758621,1.0,1.0,1.0,0.0,0.2857142857142857,0.0,0.125,0.39999999999999997,0.0,0.3333333333333339,0.0,0,0,1,0,0,0,0,1,0
0.2909433962264151,1.0,0.0,0.1428571428571428,0.2586206896551726,1.0,1.0,1.0,0.6166666666666654,0.5714285714285715,0.5,1.0,0.7333333333333334,0.0,0.0,0.0,1,0,0,0,0,0,0,1,0
0.14734950584007186,0.0,0.0,0.4285714285714284,0.0,1.0,0.5,1.0,0.6666666666666661,0.2857142857142857,1.0,1.0,0.7333333333333334,0.0,0.2666666666666675,0.0,0,0,0,0,0,1,0,1,0
0.14734950584007186,1.0,0.0,0.2857142857142858,0.6896551724137936,1.0,1.0,1.0,0.8499999999999979,0.0,0.5,0.0,0.7333333333333334,0.0,0.2666666666666675,0.0,0,0,0,0,0,1,0,1,0
0.23703504043126686,0.0,0.0,0.2857142857142858,0.1724137931034484,1.0,1.0,1.0,0.16666666666666607,0.0,1.0,0.0,0.7333333333333334,1.0,0.0,0.0,0,0,0,0,1,0,0,1,0
0.25500449236298295,0.0,0.0,0.4285714285714284,0.8620689655172411,1.0,1.0,1.0,0.6666666666666661,0.2857142857142857,1.0,0.125,0.2,1.0,0.2666666666666675,0.0,0,0,0,0,0,1,0,0,1
0.01601078167115902,0.0,0.0,0.1428571428571428,0.8620689655172411,0.0,0.0,0.0,0.7999999999999989,0.2857142857142857,0.5,0.125,0.2,1.0,0.7777777777777786,0.0,0,0,0,1,0,0,0,1,0
0.16531895777178798,1.0,0.0,0.4285714285714284,0.8620689655172411,1.0,0.0,0.0,0.4999999999999982,0.5714285714285715,0.0,0.125,0.2,1.0,0.3777777777777782,0.0,1,0,0,0,0,0,0,1,0
0.2012578616352201,1.0,0.0,0.4285714285714284,0.8620689655172411,1.0,0.5,1.0,0.4999999999999982,0.5714285714285715,0.0,0.125,0.2,1.0,0.3777777777777782,0.0,1,0,0,0,0,0,0,1,0
0.07547169811320756,0.0,0.0,0.17857142857142838,0.8620689655172411,1.0,1.0,1.0,0.7999999999999989,0.0,0.0,0.125,0.2,1.0,0.6666666666666679,0.0,0,0,0,1,0,0,0,1,0
0.07187780772686433,0.0,0.0,0.1428571428571428,0.8620689655172411,1.0,0.5,1.0,0.6666666666666661,0.0,0.5,0.125,0.7333333333333334,1.0,0.3333333333333339,0.0,0,0,0,1,0,0,0,1,0
0.14734950584007186,0.0,0.0,0.17857142857142838,0.8620689655172411,1.0,1.0,1.0,0.6666666666666661,0.0,0.5,0.125,0.7333333333333334,1.0,0.3333333333333339,0.0,0,0,0,1,0,0,0,1,0
0.1293800539083558,1.0,0.0,0.4285714285714284,0.8620689655172411,1.0,0.5,0.0,0.6666666666666661,0.0,0.5,0.125,0.7333333333333334,1.0,0.3333333333333339,0.0,1,0,0,0,0,0,0,1,0
0.021563342318059314,0.0,0.0,0.1428571428571428,0.8620689655172411,1.0,0.0,0.0,0.6666666666666661,0.0,0.5,0.125,0.2,1.0,0.3333333333333339,0.0,0,0,0,1,0,0,0,1,0
0.2909433962264151,1.0,0.0,1.0,0.3448275862068968,1.0,1.0,1.0,0.5333333333333332,0.5714285714285715,0.5,0.0,0.7333333333333334,0.0,0.3333333333333339,0.0,0,0,0,0,0,1,0,1,0
0.5604851752021563,1.0,0.0,0.7428571428571424,0.0,1.0,1.0,1.0,0.5333333333333332,0.5714285714285715,0.5,0.0,0.7333333333333334,0.0,0.3333333333333339,0.0,0,0,0,0,0,1,0,1,0
0.4706379155435759,1.0,0.0,0.7857142857142856,0.3017241379310347,1.0,1.0,1.0,0.4333333333333318,0.5714285714285715,0.5,0.0,0.7333333333333334,0.0,0.20000000000000107,0.0,0,0,0,0,0,1,0,1,0
0.39876010781671156,1.0,0.0,0.7428571428571424,0.431034482758621,1.0,1.0,1.0,0.5333333333333332,0.5714285714285715,0.5,0.0,0.7333333333333334,0.0,0.3333333333333339,0.0,0,0,0,0,0,1,0,1,0
0.704240790655885,1.0,0.0,1.0,0.6034482758620694,1.0,1.0,1.0,0.7999999999999989,0.5714285714285715,0.5,0.125,0.7333333333333334,0.0,0.3333333333333339,0.0,0,0,0,0,0,1,0,1,0
0.36298292902066487,1.0,0.0,1.0,0.6034482758620694,1.0,1.0,1.0,0.5333333333333332,0.5714285714285715,0.5,1.0,0.7333333333333334,0.0,0.3333333333333339,0.0,0,0,0,0,0,1,0,1,0
